ma1,ma2,ma3,ma4,ma5,ma6,ma7,ma8,ma9,ma10,ma11,ma12,ma13,ma14,ma15
22.1875,39.40625,13.5625,15.375,26.96875,18.65625,26.65625,12.28125,23.34375,36.0625,0.0,0.0,5.5,0.0,0.0
21.59375,38.78125,13.96875,14.21875,28.09375,19.90625,25.84375,12.5625,25.3125,34.6875,0.0,0.0,5.03125,0.0,0.0
22.34375,37.90625,14.71875,15.71875,27.59375,18.96875,26.21875,12.0625,24.21875,34.84375,0.0,0.0,5.40625,0.0,0.0
22.125,38.46875,14.0,14.40625,27.125,19.8125,26.25,12.46875,25.03125,34.71875,0.0,0.0,5.59375,0.0,0.0
22.5625,40.21875,13.4375,14.75,26.1875,18.625,25.71875,13.21875,24.90625,34.875,0.0,0.0,5.5,0.0,0.0
21.5625,40.90625,14.0625,15.96875,25.46875,19.125,25.5625,12.375,24.34375,35.5,0.0,0.0,5.125,0.0,0.0
22.5,38.15625,13.96875,15.40625,26.46875,19.46875,25.75,12.34375,24.125,35.9375,0.0,0.0,5.875,0.0,0.0
22.0,39.1875,13.09375,16.09375,26.65625,18.8125,26.875,12.15625,25.375,34.34375,0.0,0.0,5.40625,0.0,0.0
20.53125,39.6875,14.03125,16.71875,26.71875,19.21875,25.03125,11.75,24.15625,37.0,0.0,0.0,5.15625,0.0,0.0
21.5,39.875,12.625,14.75,27.5625,19.25,25.90625,12.96875,23.78125,36.25,0.0,0.0,5.53125,0.0,0.0
23.40625,39.34375,13.5,13.6875,27.59375,18.5,26.0,12.75,24.46875,35.90625,0.0,0.0,4.84375,0.0,0.0
22.375,39.21875,13.84375,16.0,27.90625,19.5625,25.5625,11.84375,24.03125,34.46875,0.0,0.0,5.1875,0.0,0.0
22.34375,39.15625,12.90625,15.625,26.875,18.78125,25.96875,12.5,25.625,34.6875,0.0,0.0,5.53125,0.0,0.0
22.625,38.90625,12.9375,15.53125,27.96875,18.375,25.78125,12.09375,25.46875,35.3125,0.0,0.0,5.0,0.0,0.0
21.625,40.40625,13.5,14.6875,27.0625,18.96875,26.09375,12.8125,25.34375,34.53125,0.0,0.0,4.96875,0.0,0.0
